chr17	78357519	78357719	3	9.05597	-1	(6,11)	7.32286	1	28.9036	3.04918e-06
chr14	67044483	67044683	11	5.77139	1	(11,11)	5.55081	1	28.3399	6.3111e-06
chr5	2747486	2747686	3	5.31837	1	(3,12)	3.98758	1	27.882	1.10621e-05
chr13	99967546	99967746	11	4.58082	1	(3,11)	7.07992	1	27.8187	1.20549e-05
chr4	30723978	30724178	10	6.43972	1	(10,13)	4.4546	1	27.5429	1.63096e-05
chr2	85136477	85136677	3	4.81484	1	(3,6)	3.37073	1	27.2711	2.13443e-05
chr17	79836801	79837001	12	9.54761	-1	(6,12)	5.76495	-1	27.0403	2.68044e-05
chr8	8890290	8890490	3	6.84819	1	(3,3)	5.43124	1	26.9686	2.88609e-05
chr4	190015445	190015645	10	7.2973	1	(8,10)	8.2412	1	26.8869	3.113e-05
chr5	140927615	140927815	11	10.3901	1	(11,11)	8.55484	1	26.8597	3.1981e-05
chr7	128030147	128030347	3	5.14698	-1	(8,11)	2.42174	1	26.8542	3.20519e-05
chr17	79836001	79836201	12	6.3718	-1	(6,12)	5.72309	-1	26.7987	3.31864e-05
chr17	72123259	72123459	3	8.70928	-1	(10,11)	6.72224	1	26.7787	3.36828e-05
chr22	19446477	19446677	2	5.02415	-1	(2,3)	2.8771	-1	26.7749	3.40374e-05
chr2	240818383	240818583	11	3.9158	1	(2,11)	3.70345	1	26.7423	3.44628e-05
chr17	7855282	7855482	11	10.4689	1	(11,11)	8.83163	1	26.7284	3.49592e-05
chr22	27796612	27796812	12	5.00012	1	(11,12)	5.13334	1	26.7066	3.5952e-05
chr5	138467311	138467511	10	5.39426	1	(3,5)	3.67306	-1	26.6267	3.92139e-05
chr12	1593034	1593234	3	11.5073	-1	(11,11)	8.55484	1	26.6156	3.94266e-05
chr1	203307272	203307472	3	9.4479	-1	(3,3)	5.60265	-1	26.6134	3.94266e-05
chr11	3377570	3377770	3	7.66203	1	(3,3)	8.44931	1	26.6123	3.94266e-05
chr1	182604665	182604865	11	9.85875	1	(11,11)	9.18989	1	26.5267	4.19085e-05
chr20	41031160	41031360	11	4.29867	1	(3,5)	2.93845	-1	26.5266	4.19085e-05
chr12	4276834	4277034	6	7.21637	-1	(2,3)	6.29578	1	26.5194	4.2334e-05
chr12	1593234	1593434	11	8.5733	1	(11,11)	8.55484	1	26.4818	4.42486e-05
chr2	91627374	91627574	11	10.2638	1	(8,11)	8.46935	1	26.4799	4.42486e-05
chr13	99986746	99986946	11	5.62083	1	(3,11)	2.72258	1	26.4598	4.53832e-05
chr15	96336371	96336571	12	9.76415	1	(12,12)	7.93355	1	26.452	4.56668e-05
chr4	30723778	30723978	13	3.62675	1	(3,6)	2.36938	-1	26.3992	4.83614e-05
chr7	157569108	157569308	11	3.74521	1	(6,9)	1.9685	-1	26.3988	4.85033e-05
chr14	56800882	56801082	6	5.03706	1	(6,13)	3.67107	1	26.3847	4.8716e-05
chr5	54519570	54519770	6	4.64124	-1	(3,6)	3.47107	-1	26.3839	4.87869e-05
chr17	79836401	79836601	11	6.71303	1	(6,12)	4.76957	-1	26.3202	5.09852e-05
chr19	58562833	58563033	10	5.40327	1	(3,10)	3.43229	1	26.3151	5.1127e-05
chr3	134372358	134372558	3	6.68345	-1	(7,11)	5.67533	1	26.2978	5.19779e-05
chr17	14305083	14305283	11	9.55221	1	(11,11)	6.33059	1	26.2914	5.24743e-05
chr1	228415699	228415899	2	6.58773	-1	(2,9)	3.95386	-1	26.2757	5.31125e-05
chr8	94643172	94643372	3	7.98834	1	(3,3)	5.98535	1	26.2715	5.33961e-05
chr8	8891690	8891890	3	6.52847	-1	(2,3)	4.853	-1	26.2164	5.62326e-05
chr16	67538697	67538897	11	5.19483	1	(11,15)	2.03021	1	26.2044	5.6729e-05
chr10	90920243	90920443	13	5.35848	1	(11,13)	6.36157	1	26.1985	5.67999e-05
chr8	38788482	38788682	11	11.4883	1	(11,11)	9.18989	1	26.1662	5.86436e-05
chr21	36130702	36130902	11	6.98808	1	(11,11)	5.30545	1	26.1542	5.92109e-05
chr7	128028947	128029147	6	5.89661	-1	(3,6)	3.0933	-1	26.1402	6.01327e-05
chr15	82043059	82043259	3	8.01146	-1	(3,4)	4.15899	-1	26.1326	6.07e-05
chr4	190014645	190014845	9	5.50102	-1	(8,10)	6.58229	1	26.1276	6.08418e-05
chr15	96335171	96335371	3	6.71814	-1	(11,12)	5.18473	1	26.1206	6.13382e-05
chr1	228415899	228416099	11	6.32816	1	(11,11)	5.30545	1	26.1173	6.15509e-05
chr19	54417026	54417226	12	3.75683	1	(3,13)	4.25202	-1	26.0596	6.52383e-05
chr5	80959581	80959781	11	9.62879	1	(11,11)	5.8335	1	26.0455	6.60892e-05
chr2	85136077	85136277	2	5.84931	1	(2,2)	3.21205	1	26.0415	6.64438e-05
chr8	70069365	70069565	3	7.72192	1	(1,3)	4.97377	1	26.0386	6.65856e-05
chr1	961620	961820	10	5.18472	1	(6,10)	3.0129	1	26.0335	6.65856e-05
chr15	96332571	96332771	11	6.70816	1	(11,12)	6.0266	1	26.0259	6.72947e-05
chr13	99987546	99987746	11	5.07385	1	(2,11)	3.71308	1	26.0247	6.72947e-05
chr4	190021245	190021445	10	5.3247	1	(8,10)	6.58229	1	26	6.8713e-05
chr16	19114878	19115078	3	6.47962	-1	(3,13)	3.49573	-1	25.991	6.90675e-05
chr9	135908754	135908954	12	3.81815	1	(7,8)	3.29426	-1	25.9728	6.97057e-05
chr8	37796282	37796482	2	7.02999	-1	(7,11)	6.43818	1	25.9611	7.04857e-05
chr4	30723578	30723778	10	5.15032	1	(10,11)	3.40373	1	25.9568	7.06276e-05
chr5	2749286	2749486	3	6.05098	1	(3,3)	5.61453	1	25.9382	7.16912e-05
chrX	153722745	153722945	2	4.30548	-1	(2,3)	4.49801	-1	25.9362	7.1904e-05
chr1	58782128	58782328	3	7.78952	-1	(10,11)	4.6368	1	25.9315	7.23294e-05
chr1	203307472	203307672	12	9.79453	1	(12,12)	7.93355	1	25.9193	7.32513e-05
chr7	157685308	157685508	13	4.14567	-1	(10,14)	2.82061	1	25.9062	7.41022e-05
chr4	190021045	190021245	9	4.9532	-1	(8,10)	4.86853	1	25.8986	7.46695e-05
chr1	38043328	38043528	12	3.82222	1	(2,13)	3.75539	-1	25.8925	7.5095e-05
chr4	41258583	41258783	3	14.8237	1	(3,3)	14.8237	1	25.858	7.68678e-05
chr4	190021445	190021645	8	6.14146	1	(8,10)	9.55089	1	25.8559	7.69387e-05
chr13	99987146	99987346	3	4.80591	-1	(3,5)	2.14904	-1	25.8114	7.94206e-05
chr15	40322799	40322999	11	8.64969	1	(2,12)	8.19082	-1	25.8089	7.94915e-05
chr8	41311081	41311281	11	8.30967	1	(11,11)	8.85107	1	25.7682	8.21152e-05
chr12	51846416	51846616	11	6.53931	1	(7,11)	4.83795	1	25.7676	8.21861e-05
chr4	190017245	190017445	12	4.76304	-1	(11,13)	4.87737	1	25.7379	8.38171e-05
chr4	79353046	79353246	11	7.78347	1	(8,13)	4.03807	-1	25.735	8.38171e-05
chr19	15010788	15010988	8	4.70415	1	(8,11)	5.02126	1	25.7337	8.38171e-05
chr4	30723378	30723578	3	5.0313	-1	(10,10)	2.64241	1	25.7021	8.5448e-05
chr3	181717612	181717812	2	5.64123	1	(2,3)	6.59861	1	25.6812	8.67953e-05
chr19	3025202	3025402	11	9.09819	1	(2,11)	6.52939	1	25.6766	8.69372e-05
chr2	66438268	66438468	12	5.90337	1	(12,13)	3.86789	1	25.6657	8.81426e-05
chr2	66437668	66437868	10	6.03056	-1	(11,12)	5.06303	1	25.6653	8.81426e-05
chr21	46229886	46230086	2	5.97464	-1	(8,11)	4.80926	1	25.6648	8.81426e-05
chr11	57457727	57457927	12	10.1417	-1	(12,12)	7.30943	-1	25.6623	8.83554e-05
chr5	132777908	132778108	11	10.4517	1	(11,11)	8.55484	1	25.6426	8.92063e-05
chr5	2753486	2753686	12	6.48451	-1	(10,11)	4.98907	1	25.6344	8.95609e-05
chrX	40167547	40167747	14	4.00822	-1	(11,14)	4.14611	-1	25.6339	8.95609e-05
chr10	21515271	21515471	11	6.9233	1	(1,3)	4.56041	-1	25.6316	8.97027e-05
chr10	71214443	71214643	11	5.29982	1	(2,11)	5.65436	1	25.6185	9.04827e-05
chr5	36242698	36242898	11	5.78654	1	(2,8)	3.65649	-1	25.6113	9.09791e-05
chr4	153792048	153792248	11	6.86298	1	(11,11)	5.30545	1	25.6041	9.15464e-05
chr7	158015908	158016108	11	3.61202	1	(1,11)	3.29755	1	25.6001	9.17591e-05
chr15	81002659	81002859	3	4.91883	-1	(10,11)	3.00118	1	25.5711	9.35319e-05
chr16	89722592	89722792	3	6.42125	-1	(3,11)	3.91189	-1	25.5607	9.44537e-05
chr3	181723812	181724012	6	6.48857	-1	(6,13)	7.08726	-1	25.5493	9.57301e-05
chr11	65574929	65575129	10	4.42056	1	(10,11)	6.0912	1	25.5481	9.5801e-05
chr1	203308472	203308672	3	5.98199	-1	(11,12)	6.795	1	25.545	9.61556e-05
chr22	27795412	27795612	11	4.75205	1	(11,11)	3.04304	1	25.5388	9.6652e-05
chr10	8056637	8056837	13	6.47403	-1	(3,13)	4.34522	-1	25.5285	9.7432e-05
chr5	141485633	141485833	11	6.17925	1	(10,11)	6.0912	1	25.5272	9.75738e-05
chr18	26546036	26546236	11	7.03222	1	(10,11)	4.8701	1	25.5161	9.85666e-05
