chr16	5148200	5148400	1	9.55052	-1	17.9288	0
chr1	144521600	144521800	1	9.55052	-1	17.9288	0
chr17	44849200	44849400	1	9.00828	1	17.7696	0
chr16	89894600	89894800	1	9.00828	1	17.3155	0
chr5	134370000	134370200	1	9.22282	1	17.2483	0
chr8	95132400	95132600	1	9.0961	-1	17.2127	0
chrX	146993400	146993600	1	8.71374	1	17.0536	0
chr20	62371200	62371400	1	8.71374	1	17.0536	0
chr1	43997000	43997200	1	8.71374	1	17.0536	0
chrX	52005000	52005200	1	9.22282	1	17.0418	0
chr9	90589400	90589600	1	9.22282	1	17.0418	0
chr9	139965000	139965200	1	9.22282	1	17.0418	0
chr8	79578000	79578200	1	9.22282	1	17.0418	0
chr6	28949200	28949400	1	9.22282	1	17.0418	0
chr6	28912200	28912400	1	9.22282	1	17.0418	0
chr6	27858600	27858800	1	9.22282	1	17.0418	0
chr6	152012400	152012600	1	9.22282	1	17.0418	0
chr6	117803600	117803800	1	9.22282	1	17.0418	0
chr5	102898600	102898800	1	9.22282	1	17.0418	0
chr4	48018600	48018800	1	9.22282	1	17.0418	0
chr3	186857400	186857600	1	9.22282	1	17.0418	0
chr20	16555600	16555800	1	9.22282	1	17.0418	0
chr13	36871800	36872000	1	9.22282	1	17.0418	0
chr1	228645600	228645800	1	9.22282	1	17.0418	0
chr1	167684000	167684200	1	9.22282	1	17.0418	0
chr10	75118600	75118800	1	9.22282	1	17.0418	0
chr10	4868600	4868800	1	9.22282	1	17.0418	0
chr10	22519400	22519600	1	9.22282	1	17.0418	0
chr14	25602000	25602200	16	8.7793	1	16.9811	0
chr19	36389200	36389400	4	9.11263	1	16.9771	0
chr9	115774400	115774600	23	8.60244	-1	16.9707	0
chr11	113930200	113930400	1	9.0961	-1	16.9465	0
chr17	43697400	43697600	1	9.00828	1	16.927	0
chr2	62116200	62116400	1	9.22282	1	16.8542	0
chr9	115819200	115819400	1	9.22282	1	16.8308	0
chr2	114384200	114384400	1	9.22282	1	16.7954	0
chr19	12146600	12146800	1	9.22282	1	16.7954	0
chr1	84326400	84326600	1	9.22282	1	16.7954	0
chr17	2952400	2952600	1	9.22282	1	16.7954	0
chr3	4533400	4533600	23	8.76426	1	16.7581	0
chr19	35657600	35657800	20	9.52417	1	16.7303	0
chr17	38253000	38253200	11	9.05874	1	16.7152	0
chr7	89874600	89874800	1	9.22282	1	16.6314	0
chr16	47177400	47177600	1	9.22282	1	16.6314	0
chr1	227506400	227506600	1	9.22282	1	16.6314	0
chr1	111506400	111506600	1	9.22282	1	16.6314	0
chr1	110282800	110283000	1	9.22282	1	16.6314	0
chr21	28340000	28340200	1	9.22282	1	16.6005	0
chr13	77458000	77458200	22	8.5599	1	16.5987	0
chr3	147664200	147664400	22	8.76137	-1	16.5917	0
chr6	26312000	26312200	1	9.22282	1	16.591	0
chr8	1765200	1765400	23	8.76426	1	16.5832	0
chr7	151575000	151575200	23	8.76426	1	16.5832	0
chr3	27755000	27755200	23	8.76426	1	16.5832	0
chr2	118981800	118982000	23	8.76426	1	16.5832	0
chr20	21082000	21082200	23	8.76426	1	16.5832	0
chr19	44302800	44303000	23	8.76426	1	16.5832	0
chr17	6946400	6946600	23	8.76426	1	16.5832	0
chr16	58019200	58019400	23	8.76426	1	16.5832	0
chr14	102172200	102172400	23	8.76426	1	16.5832	0
chr12	49374600	49374800	23	8.76426	1	16.5832	0
chr12	124247000	124247200	23	8.76426	1	16.5832	0
chr10	22624000	22624200	23	8.76426	1	16.5832	0
chr2	115419800	115420000	22	8.37824	1	16.58	0
chr6	35286200	35286400	11	7.60846	-1	16.5583	0
chr17	8042000	8042200	1	9.22282	1	16.5518	0
chrX	130964800	130965000	1	9.22282	1	16.542	0
chr15	40332000	40332200	4	8.04407	-1	16.5167	0
chr17	634800	635000	4	8.92537	1	16.5082	0
chr1	46596200	46596400	23	8.2018	-1	16.507	0
chr7	156433400	156433600	1	9.22282	1	16.5001	0
chr4	170947800	170948000	1	9.22282	1	16.5001	0
chr2	42068200	42068400	1	9.22282	1	16.5001	0
chr2	178483200	178483400	1	9.22282	1	16.5001	0
chr17	36762000	36762200	1	8.71374	1	16.4697	0
chr13	52027200	52027400	1	8.64418	-1	16.4689	0
chr6	52530600	52530800	4	9.11263	1	16.4664	0
chrX	49012000	49012200	1	9.00828	1	16.458	0
chrX	101975600	101975800	1	9.00828	1	16.458	0
chrX	101914600	101914800	1	9.00828	1	16.458	0
chr8	27950200	27950400	1	9.00828	1	16.458	0
chr8	144417000	144417200	1	9.00828	1	16.458	0
chr7	129710000	129710200	1	9.00828	1	16.458	0
chr6	28908800	28909000	1	9.00828	1	16.458	0
chr6	27871000	27871200	1	9.00828	1	16.458	0
chr6	27156600	27156800	1	9.00828	1	16.458	0
chr6	138428600	138428800	1	9.00828	1	16.458	0
chr5	61700200	61700400	1	9.00828	1	16.458	0
chr5	125930800	125931000	1	9.00828	1	16.458	0
chr4	83206400	83206600	1	9.00828	1	16.458	0
chr3	49894000	49894200	1	9.00828	1	16.458	0
chr3	197517600	197517800	1	9.00828	1	16.458	0
chr3	184971600	184971800	1	9.00828	1	16.458	0
chr2	2617400	2617600	1	9.00828	1	16.458	0
chr2	183943200	183943400	1	9.00828	1	16.458	0
chr2	183903200	183903400	1	9.00828	1	16.458	0
chr21	47604200	47604400	1	9.00828	1	16.458	0
chr20	33146800	33147000	1	9.00828	1	16.458	0
chr20	23330600	23330800	1	9.00828	1	16.458	0
chr19	57874600	57874800	1	9.00828	1	16.458	0
