chr11	19241000	19241200	15	0.122359	1	(13,15)	1	0.180987	400424	CSRP3	-8881	RP11-428C19.4	0
chr13	46783400	46783600	15	0.134267	1	(14,15)	1	0.220304	398022	LCP1	1883	LCP1	0
chr6	35131400	35131600	15	0.12693	1	(5,15)	1	0.183681	400339	TCP11	-15014	TCP11	-15014
chr2	9285800	9286000	15	0.117399	1	(15,15)	1	0.16148	400821	RP11-734K21.4	2506	RP11-734K21.4	0
chr6	22955600	22955800	15	0.116499	1	(7,15)	1	0.166992	400799	RP1-209A6.1	76209	RP1-209A6.1	0
chr2	48424600	48424800	15	0.121281	1	(7,15)	1	0.166822	400801	RN7SKP224	-19914	AC079807.4	0
chr1	8184200	8184400	15	0.126197	1	(5,15)	1	0.189081	400121	RP11-431K24.2	-65484	RP11-431K24.1	1439
chr10	115783600	115783800	15	0.116964	1	(5,15)	1	0.15703	400838	ADRB1	-20015	ADRB1	-20015
chr10	112544400	112544600	15	0.11959	1	(15,15)	1	0.159718	400825	RNA5SP327	23501	RBM20	0
chr13	97868200	97868400	15	0.11959	1	(15,15)	1	0.159718	400824	MBNL2	-5288	MBNL2	-5288
chr4	7134400	7134600	15	0.135169	1	(5,15)	1	0.194078	399954	RN7SKP36	-20275	RN7SKP36	-20275
chr21	35257000	35257200	15	0.188436	1	(1,15)	1	0.307017	370093	LINC00649	-30652	AP000304.12;ITSN1	0
chr7	100222800	100223000	15	0.127412	1	(14,15)	1	0.191818	400031	MOSPD3	12622	TFR2	0
chr5	139743400	139743600	15	0.170923	1	(14,15)	1	0.275238	381030	SLC4A9	3601	SLC4A9	0
chr20	52307800	52308000	15	0.134217	1	(15,15)	1	0.186833	400231	RNU7-14P	-22504	RNU7-14P	-22504
chr2	162848200	162848400	15	0.12078	1	(15,15)	1	0.158876	400833	RPEP5	-60225	DPP4	351
chr10	31137400	31137600	15	0.132299	1	(5,15)	1	0.204563	399391	RP11-330O11.3	-15085	ZNF438	0
chr20	61416600	61416800	15	0.125623	1	(5,15)	1	0.194787	399928	LINC00659	-9837	LINC00659	-9837
chr1	196435200	196435400	15	0.114624	1	(7,15)	1	0.175942	400558	MIR4735	116211	KCNT2	0
chr3	61940400	61940600	15	0.114624	1	(7,15)	1	0.175942	400557	RNU2-10P	163584	PTPRG	0
chr2	13068000	13068200	15	0.121517	1	(7,15)	1	0.187527	400207	AC064875.2	78922	AC064875.2	38710
chrX	41578800	41579000	15	0.138538	1	(5,15)	1	0.204346	399419	GPR82	-4408	CASK	0
chr8	20138400	20138600	15	0.119961	1	(7,15)	1	0.170769	400693	LZTS1-AS1	5117	LZTS1;LZTS1-AS1	0
chr2	134531400	134531600	15	0.123906	1	(7,15)	1	0.169022	400739	RN7SKP93	177739	RN7SKP93	177431
chr5	169061400	169061600	15	0.129913	1	(15,15)	1	0.176774	400516	DOCK2	-2651	DOCK2	-2651
chr5	172997800	172998000	15	0.134118	1	(15,15)	1	0.185326	400277	CTB-33O18.2	-3941	CTB-33O18.1	0
chr2	235283200	235283400	15	0.100248	1	(5,15)	1	0.162679	400815	AC097713.5	45074	AC097713.5	44719
chr8	100473800	100474000	15	0.158229	1	(9,15)	1	0.251825	389794	Y_RNA	-66054	VPS13B	0
chr1	12143000	12143200	15	0.140878	1	(9,15)	1	0.213043	398805	RPL23AP89	-2397	TNFRSF8	0
chr9	140253200	140253400	15	0.147635	1	(9,15)	1	0.220022	398102	NRARP	-56498	EXD3	0
chr11	5303600	5303800	15	0.108083	1	(14,15)	1	0.168791	400752	OR51AB1P	9810	HBG2;HBE1	0
chr3	158512000	158512200	15	0.133762	1	(5,15)	1	0.208998	399122	MFSD1	-7454	MFSD1	0
chr17	9131000	9131200	15	0.126018	1	(14,15)	1	0.199162	399718	RP11-85B7.5	17014	NTN1	0
chr11	28642400	28642600	15	0.122482	1	(15,15)	1	0.155648	400842	RP11-960D24.1	-58130	RP11-960D24.1	-58130
chr11	69218000	69218200	15	0.118688	1	(15,15)	1	0.147321	400849	RP11-211G23.1	-10875	RP11-211G23.1	-10875
chr18	55381000	55381200	15	0.150648	1	(15,15)	1	0.215966	398495	ATP8B1	17839	RP11-35G9.5;ATP8B1	0
chr21	43447400	43447600	15	0.13001	1	(15,15)	1	0.172744	400652	ZNF295-AS1	5025	ZNF295-AS1	2368
chr11	64380000	64380200	15	0.101754	1	(7,15)	1	0.172213	400657	SLC22A12	21266	NRXN2	0
chr5	146939200	146939400	15	0.139778	1	(5,15)	1	0.201248	399571	JAKMIP2-AS1	-157	JAKMIP2-AS1	-157
chr2	101521600	101521800	15	0.113233	1	(7,15)	1	0.185827	400271	AC016738.3	70362	NPAS2	0
chr21	47564200	47564400	15	0.123239	1	(1,15)	1	0.227844	396826	FTCD-AS1	-7128	FTCD	0
chr1	145541200	145541400	15	0.115593	1	(7,15)	1	0.178079	400507	RP11-315I20.3	829	ITGA10	0
chr10	90015800	90016000	15	0.136154	1	(7,15)	1	0.215589	398518	RP11-129G17.2	3129	RP11-129G17.2	2886
chr14	102257800	102258000	15	0.0957118	1	(5,15)	1	0.166669	400802	RNU6-790P	-11564	PPP2R5C	0
chr10	116374200	116374400	15	0.118789	1	(7,15)	1	0.174983	400583	snoU13	-41869	ABLIM1	0
chr9	110947800	110948000	15	0.121219	1	(7,15)	1	0.173467	400618	RP11-505C13.1	69100	RP11-505C13.1	66434
chr9	130905800	130906000	15	0.121219	1	(7,15)	1	0.173467	400617	LCN2	-5350	LCN2	-5350
chr2	32978200	32978400	15	0.122532	1	(7,15)	1	0.172888	400651	LINC00486	-72110	TTC27	0
chr5	90349800	90350000	15	0.125367	1	(7,15)	1	0.172114	400658	TMEM251P1	-22677	ADGRV1	0
chr2	9799200	9799400	15	0.126894	1	(7,15)	1	0.171931	400662	RP11-521D12.2	-14752	RP11-521D12.1	9633
chr11	69801800	69802000	15	0.128649	1	(15,15)	1	0.165577	400808	RP11-626H12.1	-29982	RP11-626H12.1	-29982
chr18	24092000	24092200	15	0.130184	1	(15,15)	1	0.168569	400755	RP11-9E17.1	33555	KCTD1	0
