chr6	10412367	10412567	10	10.8731	1	11.2719
chr7	5528569	5528769	3	11.0621	1	11.0621
chr6	36596823	36597023	3	11.0621	1	11.0621
chr6	32974823	32975023	3	11.0621	1	11.0621
chr6	31355623	31355823	3	11.0621	1	11.0621
chr6	30616823	30617023	3	11.0621	1	11.0621
chr6	30491423	30491623	3	11.0621	1	11.0621
chr5	172769797	172769997	3	11.0621	1	11.0621
chr3	186785011	186785211	3	11.0621	1	11.0621
chr2	85324877	85325077	3	11.0621	1	11.0621
chr2	43223661	43223861	3	11.0621	1	11.0621
chr2	200861277	200861477	3	11.0621	1	11.0621
chr2	136115630	136115830	3	11.0621	1	11.0621
chr20	35740478	35740678	3	11.0621	1	11.0621
chr19	48873543	48873743	3	11.0621	1	11.0621
chr19	39408760	39408960	3	11.0621	1	11.0621
chr17	75778519	75778719	3	11.0621	1	11.0621
chr17	63697440	63697640	3	11.0621	1	11.0621
chr17	41690148	41690348	3	11.0621	1	11.0621
chr15	81300659	81300859	3	11.0621	1	11.0621
chr14	69768483	69768683	3	11.0621	1	11.0621
chr14	35403394	35403594	3	11.0621	1	11.0621
chr12	92143224	92143424	3	11.0621	1	11.0621
chr12	6958637	6958837	3	11.0621	1	11.0621
chr12	124913654	124913854	3	11.0621	1	11.0621
chr1	203307872	203308072	3	11.0621	1	11.0621
chr11	65504529	65504729	3	11.0621	1	11.0621
chr11	61965728	61965928	3	11.0621	1	11.0621
chr1	150577324	150577524	3	11.0621	1	11.0621
chr1	145995268	145995468	3	11.0621	1	11.0621
chr10	3782208	3782408	3	11.0621	1	11.0621
chr15	37100399	37100599	10	9.36413	1	11.042
chr9	74497084	74497284	10	9.36413	1	10.5516
chr9	95511118	95511318	10	9.36413	1	10.4908
chr4	165379048	165379248	10	9.36413	1	10.3986
chr1	109910778	109910978	10	9.36413	1	10.3148
chr4	112706044	112706244	10	9.36413	1	10.3074
chrX	129783424	129783624	3	9.6819	1	10.1926
chr9	133349145	133349345	3	9.6819	1	10.1926
chr7	26197180	26197380	3	9.6819	1	10.1926
chr6	89083481	89083681	3	9.6819	1	10.1926
chr6	73519477	73519677	3	9.6819	1	10.1926
chr6	30680223	30680423	3	9.6819	1	10.1926
chr6	29944823	29945023	3	9.6819	1	10.1926
chr6	159041768	159041968	3	9.6819	1	10.1926
chr5	132487708	132487908	3	9.6819	1	10.1926
chr3	157158611	157158811	3	9.6819	1	10.1926
chr22	39521795	39521995	3	9.6819	1	10.1926
chr19	3984002	3984202	3	9.6819	1	10.1926
chr17	76734918	76735118	3	9.6819	1	10.1926
chr17	64504482	64504682	3	9.6819	1	10.1926
chr16	89561792	89561992	3	9.6819	1	10.1926
chr16	30094879	30095079	3	9.6819	1	10.1926
chr1	35190799	35190999	3	9.6819	1	10.1926
chr13	45339865	45340065	3	9.6819	1	10.1926
chr12	56160416	56160616	3	9.6819	1	10.1926
chr1	198643670	198643870	3	9.6819	1	10.1926
chr10	30437671	30437871	3	9.6819	1	10.1926
chr9	137242148	137242348	3	9.6819	1	10.0807
chr6	31270823	31271023	3	9.6819	1	10.0807
chr5	179621999	179622199	3	9.6819	1	10.0807
chr20	53580061	53580261	3	9.6819	1	10.0807
chr20	43459160	43459360	3	9.6819	1	10.0807
chr20	31547797	31547997	3	9.6819	1	10.0807
chr19	54201732	54201932	3	9.6819	1	10.0807
chr19	48966343	48966543	3	9.6819	1	10.0807
chr19	18278990	18279190	3	9.6819	1	10.0807
chr17	81511574	81511774	3	9.6819	1	10.0807
chr17	58331039	58331239	3	9.6819	1	10.0807
chr17	4946505	4946705	3	9.6819	1	10.0807
chr15	44714202	44714402	3	9.6819	1	10.0807
chr14	103335663	103335863	3	9.6819	1	10.0807
chr13	40979664	40979864	3	9.6819	1	10.0807
chr1	234607454	234607654	3	9.6819	1	10.0807
chr12	12720066	12720266	3	9.6819	1	10.0807
chr11	65426929	65427129	3	9.6819	1	10.0807
chr11	64776928	64777128	3	9.6819	1	10.0807
chr11	123060492	123060692	3	9.6819	1	10.0807
chr7	90245086	90245286	10	7.87813	1	9.95482
chr15	55588202	55588402	10	7.87813	1	9.93176
chr20	21100159	21100359	10	4.9921	1	9.92111
chr17	59840239	59840439	3	9.6819	1	9.87647
chr11	61581328	61581528	10	6.41898	1	9.85056
chr1	31413153	31413353	10	7.87813	1	9.83962
chr3	101852156	101852356	3	9.6819	1	9.78511
chr6	75749083	75749283	10	6.41898	1	9.7664
chr18	57435168	57435368	10	6.41898	1	9.7664
chr9	99823118	99823318	11	9.7202	1	9.7202
chr9	95510318	95510518	11	9.7202	1	9.7202
chr9	95507918	95508118	11	9.7202	1	9.7202
chr9	93183718	93183918	11	9.7202	1	9.7202
chr9	63818266	63818466	11	9.7202	1	9.7202
chr9	4298400	4298600	11	9.7202	1	9.7202
chr9	34591602	34591802	11	9.7202	1	9.7202
chr8	98945172	98945372	11	9.7202	1	9.7202
chr8	98941572	98941772	11	9.7202	1	9.7202
chr8	79767165	79767365	11	9.7202	1	9.7202
chr8	79765565	79765765	11	9.7202	1	9.7202
chr8	71843565	71843765	11	9.7202	1	9.7202
chr8	29351883	29352083	11	9.7202	1	9.7202
