chr6	58451600	58451800	8	6.9988	1	(8,11)	4.80712	1	17.5151
chr14	87771000	87771200	11	9.39005	1	(11,11)	4.50325	1	17.231
chr1	121742400	121742600	11	8.11639	1	(9,11)	3.67488	1	17.1851
chr6	58451200	58451400	11	8.32217	1	(8,11)	8.24245	1	17.0635
chr2	132271600	132271800	8	6.89788	1	(8,11)	6.31037	1	16.7642
chr8	69690000	69690200	11	12.258	1	(11,11)	8.32973	1	16.7611
chr13	27459800	27460000	11	9.20806	1	(8,11)	5.71019	1	16.7218
chr9	61856800	61857000	11	7.67181	1	(8,11)	6.33594	1	16.7201
chrX	137438200	137438400	11	12.1163	1	(11,11)	8.20008	1	16.6792
chr8	81842400	81842600	10	9.60337	1	(10,11)	5.92156	1	16.6477
chr2	132267800	132268000	11	9.20583	1	(8,11)	7.50064	1	16.6394
chr12	34219600	34219800	11	11.9959	1	(11,11)	8.00326	1	16.5681
chr1	91387400	91387600	11	12.0325	1	(11,11)	8.10961	1	16.5071
chr21	8988400	8988600	11	10.8528	1	(8,11)	9.03793	1	16.4878
chr6	58452600	58452800	11	9.7455	1	(8,11)	9.77459	1	16.471
chr14	75281200	75281400	3	8.93088	1	(3,3)	4.17091	1	16.4599
chr2	132269400	132269600	11	7.84988	1	(8,11)	6.20974	1	16.4349
chr16	14487000	14487200	8	6.85742	1	(8,11)	4.78464	1	16.3336
chr10	96801600	96801800	11	10.4053	1	(8,11)	9.14376	1	16.2581
chr17	32822600	32822800	11	7.57876	1	(8,11)	4.72701	1	16.2387
chr16	34154800	34155000	8	9.08436	1	(8,10)	4.84935	1	16.1445
chr2	132269600	132269800	8	5.39279	1	(8,10)	2.83654	1	16.1342
chr2	132265000	132265200	11	6.26996	1	(8,11)	3.73071	1	16.1326
chr12	20551400	20551600	11	10.4555	1	(8,11)	9.04084	1	16.0861
chr2	132266000	132266200	8	5.45364	1	(8,12)	2.69511	1	16.0624
chrX	109054000	109054200	11	7.57494	1	(8,11)	8.03639	1	16.0525
chr21	8986600	8986800	11	6.00533	1	(8,11)	5.05043	1	16.0426
chr9	107486800	107487000	3	7.75209	1	(3,10)	3.40072	1	16.0005
chr9	62799000	62799200	11	5.68199	1	(10,11)	3.49282	1	15.9621
chr22	50675400	50675600	3	4.79539	1	(3,11)	2.16073	1	15.9459
chr12	127166000	127166200	11	7.36117	1	(8,11)	6.29995	1	15.9199
chr1	148808800	148809000	11	6.92835	1	(11,12)	5.91504	1	15.895
chr2	132273400	132273600	8	6.69117	1	(8,11)	6.28876	1	15.8645
chr19	58004200	58004400	8	7.91332	1	(3,8)	6.45123	1	15.847
chr20	49280200	49280400	3	7.38293	1	(3,8)	5.3179	1	15.8191
chr6	58452800	58453000	8	5.12055	1	(8,11)	3.78402	1	15.7814
chr9	76571600	76571800	11	7.24336	1	(8,11)	4.58439	1	15.7429
chr9	63816800	63817000	11	10.1132	1	(8,11)	9.08585	1	15.7356
chr2	132269000	132269200	8	6.6351	1	(8,11)	4.66583	1	15.7318
chr2	132259600	132259800	11	7.54869	1	(8,11)	7.875	1	15.6777
chr4	53200	53400	8	6.85433	1	(8,10)	5.04972	1	15.657
chr5	71850800	71851000	11	9.01373	1	(8,11)	9.51052	1	15.6427
chr2	132265800	132266000	11	8.89826	1	(8,11)	7.50064	1	15.6321
chr8	37697800	37698000	3	4.63326	1	(3,11)	3.17213	1	15.6299
chr10	3781600	3781800	3	14.0573	1	(3,3)	12.4857	1	15.6288
chr21	8987600	8987800	8	5.67742	1	(8,12)	4.26575	1	15.6104
chr13	109781400	109781600	3	11.2885	1	(3,3)	7.76395	1	15.6021
chr19	55670200	55670400	6	5.46678	1	(3,6)	3.73953	1	15.5854
chr2	132277000	132277200	11	7.53731	1	(8,11)	7.90972	1	15.5822
chr2	132273200	132273400	11	7.53731	1	(8,11)	7.90972	1	15.5822
chr19	55670400	55670600	3	6.00677	1	(3,6)	5.00739	1	15.5781
chrX	109054400	109054600	8	6.75048	1	(8,11)	6.3947	1	15.5721
chr9	62800400	62800600	11	5.55325	1	(10,11)	3.41492	1	15.5405
chr2	207767200	207767400	3	4.56169	1	(3,11)	2.97723	1	15.5191
chr17	47135600	47135800	8	8.78786	1	(8,13)	6.70343	1	15.5149
chr18	22172400	22172600	3	6.00957	1	(3,10)	4.32886	1	15.4818
chr11	65503000	65503200	3	12.5286	1	(3,3)	9.89531	1	15.4658
chr22	18730400	18730600	11	6.30879	1	(9,11)	2.85384	1	15.4476
chr9	63817400	63817600	11	8.39429	1	(8,11)	7.73734	1	15.4156
chr19	2271800	2272000	3	11.1548	1	(3,3)	7.70972	1	15.4002
chr15	39582400	39582600	3	11.3829	1	(3,3)	7.88911	1	15.3999
chr5	172769400	172769600	3	12.5126	1	(3,3)	9.85219	1	15.3936
chr8	143669400	143669600	8	4.20017	1	(8,11)	1.88725	1	15.3849
chr2	132276600	132276800	8	6.45	1	(8,11)	6.28876	1	15.3572
chr17	61401800	61402000	10	4.06307	1	(3,10)	1.93896	1	15.3374
chr8	81842200	81842400	11	13.9984	1	(11,11)	12.6644	1	15.3324
chr20	26209200	26209400	11	13.9984	1	(11,11)	12.6644	1	15.3324
chr11	123060400	123060600	3	13.9357	1	(3,3)	12.5433	1	15.3282
chrX	62498200	62498400	8	7.66901	1	(8,11)	9.51307	1	15.3278
chr4	75886000	75886200	11	7.59212	1	(11,11)	2.96994	1	15.3159
chr2	132265200	132265400	12	6.03253	1	(8,12)	5.50788	1	15.3103
chr19	14516000	14516200	3	12.4894	1	(3,3)	9.90819	1	15.3053
chr2	132277200	132277400	8	6.39641	1	(8,11)	6.32408	1	15.305
chr9	63818200	63818400	11	7.25635	1	(8,11)	6.48952	1	15.2694
chr9	63817200	63817400	8	5.68392	1	(8,11)	5.10352	1	15.2674
chr20	47894600	47894800	11	4.44337	1	(11,13)	2.54841	1	15.2606
chr19	48875600	48875800	3	11.0947	1	(3,3)	7.73388	1	15.2526
