chr1	85280400	85280600	14	6.53322	1	(6,14)	4.44651	1	15.9324
chr4	28176800	28177000	14	6.46702	1	(12,14)	5.54567	1	15.8346
chr1	95452000	95452200	14	5.51325	1	(3,14)	4.99017	1	15.8179
chrY	90744400	90744600	6	6.10763	1	(6,14)	4.86844	1	15.6621
chr2	181928400	181928600	14	6.39768	1	(3,14)	4.81023	1	15.6585
chr10	11492000	11492200	3	6.18839	1	(3,14)	4.86834	1	15.6238
chr16	3243600	3243800	14	8.36797	1	(12,14)	6.04217	1	15.5661
chr10	58225200	58225400	14	6.00796	1	(12,14)	5.23265	1	15.5652
chr5	32721000	32721200	14	5.06189	1	(12,14)	4.21363	1	15.5543
chr14	19417600	19417800	6	8.01349	1	(6,14)	10.9581	1	15.5377
chr4	3232000	3232200	14	5.08507	1	(7,14)	2.252	1	15.4644
chr18	37694400	37694600	14	4.32135	1	(2,14)	2.77886	1	15.4633
chr13	77439000	77439200	14	5.45664	1	(12,14)	4.36369	1	15.4343
chr15	75085400	75085600	14	5.26754	1	(9,14)	4.46462	1	15.2639
chr13	65259000	65259200	14	4.28192	1	(2,14)	1.79963	1	15.2584
chr3	8246400	8246600	3	7.01596	1	(3,12)	4.38238	1	15.1964
chr18	37707000	37707200	14	6.29377	1	(2,14)	4.53069	1	15.1795
chr6	3191800	3192000	14	7.01496	1	(12,14)	4.87403	1	15.1695
chrX	170674600	170674800	14	8.13462	1	(6,14)	6.45989	1	15.1358
chr10	58225400	58225600	12	6.20792	1	(12,14)	6.5737	1	15.1202
chr1	122357200	122357400	3	6.79117	1	(3,14)	5.64629	1	15.1067
chr11	34681800	34682000	6	4.90105	1	(6,14)	3.58579	1	15.0493
chr1	85591200	85591400	6	6.33265	1	(6,14)	7.1636	1	15.0403
chr7	18403000	18403200	14	9.01674	1	(2,14)	4.89216	1	15.0291
chr9	3003000	3003200	14	6.25182	1	(12,14)	6.78445	1	15.0286
chr6	3183400	3183600	9	5.88439	1	(3,9)	4.63408	1	15.0247
chr17	13654600	13654800	14	7.16914	1	(9,14)	5.19369	1	15.0208
chr1	122357000	122357200	14	5.02503	1	(3,14)	3.70161	1	15.0201
