chr1	227302600	227347600	14
chr14	52921400	52966400	14
chr3	66019200	66064200	14
chr6	75728800	75773800	14
chr16	75233600	75278600	14
chr9	14296800	14341800	14
chr15	37079400	37124400	14
chr3	61540200	61585200	14
chr9	106846400	106891400	1
chr5	38524800	38569800	14
chr9	94989600	95034600	14
chr11	12662000	12707000	14
chr4	41190000	41235000	14
chr11	120312000	120357000	1
chr3	134344200	134389200	14
chr1	7994000	8039000	14
chr19	49128600	49173600	14
chr2	54443600	54488600	14
chr1	46105000	46150000	14
chr6	79617000	79662000	14
chr1	94897400	94942400	1
chr12	25944400	25989400	14
chr2	66415000	66460000	14
chr17	42649000	42694000	14
chr14	88533800	88578800	14
chr12	48758200	48803200	14
chr8	80553200	80598200	14
chr1	83969400	84014400	14
chr1	156099600	156144600	14
chr12	106116200	106161200	14
chr1	61025800	61070800	14
chr17	38717200	38762200	14
chr2	158953800	158998800	1
chr10	94382200	94427200	14
chr6	71396600	71441600	14
chr11	115481400	115526400	14
chr2	36342400	36387400	14
chr7	120842400	120887400	14
chr5	107647000	107692000	14
chr3	57135400	57180400	14
chr4	125295200	125340200	14
chr4	168811200	168856200	14
chr5	116549000	116594000	14
chr3	149628000	149673000	14
chr11	8853800	8898800	14
chr3	120427000	120472000	14
chr11	86938800	86983800	14
chr12	12250400	12295400	1
chr6	167806200	167851200	14
chr10	68542200	68587200	14
chr2	42025400	42070400	14
chr1	98631400	98676400	14
chr10	21484200	21529200	14
chr9	111577200	111622200	14
chr12	63828600	63873600	14
chr1	149979600	150024600	1
chr2	215419400	215464400	14
chr5	79492000	79537000	14
chr18	25330600	25375600	14
chr12	62614400	62659400	14
chr14	60700600	60745600	14
chr1	85556400	85601400	14
chr6	128490600	128535600	14
chr6	159024600	159069600	8
chr11	46886800	46931800	14
chr12	24538200	24583200	14
chr4	78037800	78082800	14
chr1	225626000	225671000	14
chr15	96315600	96360600	14
chr4	82535600	82580600	14
chr10	91607000	91652000	14
chr1	32868200	32913200	14
chr2	152320800	152365800	14
chr12	6752400	6797400	14
chr2	183013800	183058800	1
chr1	220505200	220550200	14
chr2	178168800	178213800	14
chr10	86741000	86786000	14
chr13	106501600	106546600	14
chr2	119515400	119560400	14
chr13	102771400	102816400	14
chr6	26997800	27042800	1
chr9	95486000	95531000	14
chr1	43513200	43558200	14
chr3	149944800	149989800	14
chr6	131923000	131968000	14
chr7	80121800	80166800	1
chr15	83190400	83235400	14
chr3	146132000	146177000	14
chr1	32521400	32566400	14
chr6	46638200	46683200	1
chr1	213962800	214007800	14
chr1	220722400	220767400	14
chr2	85108800	85153800	14
chr9	25649800	25694800	1
chr22	33893800	33938800	14
chr1	204060000	204105000	14
chr2	109590600	109635600	14
chr2	186662400	186707400	14
chr5	141465000	141510000	14
