chr12	114669595	114679595	6
chr17	48545438	48555438	18
chr17	48545838	48555838	18
chr7	27100981	27110981	10
chr7	27101781	27111781	10
chr17	48566838	48576838	4
chr7	27137181	27147181	1
chr7	27114781	27124781	23
chr7	27131581	27141581	3
chr7	27098981	27108981	23
chr17	48557438	48567438	23
chr2	188973674	188983674	3
chr2	188974474	188984474	3
chr1	1351420	1361420	11
chr17	2056906	2066906	22
chr4	49706	59907	4
chr2	66437268	66447268	22
chr7	27115781	27125781	23
chr17	48543238	48553238	18
chr1	170665259	170675259	22
chr17	61399839	61409839	24
chr17	61401239	61411239	24
chr12	54019616	54029616	23
chr17	48572438	48582438	23
chr15	96343571	96353571	9
chr19	13093586	13103586	18
chr15	96342371	96352371	9
chr19	13009386	13019386	4
chr17	45221633	45231633	23
chr1	1352620	1362620	11
chr12	6224234	6234234	3
chr17	2053306	2063306	22
chr2	66438268	66448268	22
chr10	129953336	129963336	9
chr17	45220233	45230233	23
chr17	48587038	48597038	4
chr19	13007386	13017386	4
chr12	114665795	114675795	11
chr19	13006586	13016586	4
chr5	141484033	141494033	4
chr19	13050786	13060786	3
chr7	94393288	94403288	13
chr16	86572594	86582594	4
chr7	27128381	27138381	14
chr17	48594438	48604438	23
chr10	62050241	62060241	11
chr19	13013386	13023386	23
chr17	48998838	49008838	3
chr22	20428113	20438113	7
chr12	53984216	53994216	9
chr12	53984416	53994416	9
chr3	184560612	184570612	9
chr5	93569894	93579894	12
chr17	48595238	48605238	23
chr14	103121263	103131263	23
chr12	54016416	54026416	22
chr19	13053186	13063186	4
chr19	13090986	13100986	18
chr7	27116981	27126981	23
chr5	93586094	93596094	22
chr3	112632153	112642153	9
chr17	50197239	50207239	24
chr2	237404957	237414957	1
chr11	1868170	1878170	23
chr17	61393839	61403839	24
chr17	61396039	61406039	24
chr6	10409367	10419367	23
chr12	54001016	54011016	4
chr5	141487033	141497033	15
chr5	134547110	134557110	9
chr17	50198039	50208039	24
chr17	61403239	61413239	24
chr15	73921259	73931259	4
chr2	238847559	238857559	22
chr12	54024616	54034616	23
chr1	156891808	156901808	9
chr17	50183439	50193439	11
chr2	127078024	127088024	2
chr12	53996416	54006416	4
chr12	53980616	53990616	22
chr1	209646055	209656055	13
chr7	27173981	27183981	9
chr5	2746686	2756686	19
chr1	208233055	208243055	13
chr18	22170439	22180439	4
chr10	71762243	71772243	13
chr17	50198839	50208839	24
chr18	22170039	22180039	4
chr5	149414437	149424437	11
chr16	86567394	86577394	24
chr5	149405637	149415637	22
chr12	4271234	4281234	9
chr22	39234195	39244195	22
chr11	311400	321400	1
chr10	62052241	62062241	9
chr4	140090446	140100446	3
chr1	208232455	208242455	13
chr17	75691720	75701720	18
chr3	55475972	55485972	10
chr10	79176443	79186443	14
